topic,term,weight
000,million,0.04621215
000,year,0.018641561
000,increase,0.015771301
000,expensar,0.01634247
000,revenue,0.013134019
000,tax,0.010984778
000,end,0.011607709
000,relate,0.011441146
000,income,0.016787121
000,net,0.015342538
001,statement,0.075829186
001,forward,0.052453257
001,result,0.050144147
001,financial,0.048023827
001,report,0.028157502
001,update,0.01667942
001,part,0.016327256
001,datar,0.01875978
001,future,0.016714836
001,factor,0.015699254
002,income,0.09883724
002,net,0.0705238
002,share,0.05934482
002,loss,0.049653392
002,datar,0.03940494
002,operation,0.0417606
002,asset,0.024698224
002,expensar,0.023238026
002,year,0.023205632
002,basic,0.019886797
003,rate,0.069628246
003,interest,0.04834363
003,risk,0.046372727
003,currency,0.026462138
003,foreign,0.023456948
003,market,0.026294833
003,investment,0.018702082
003,debt,0.017505433
003,exchange,0.015965998
003,exposure,0.012049708
004,share,0.050170172
004,stock,0.036158033
004,company,0.033103075
004,common,0.02589622
004,security,0.02457117
004,table,0.019636003
004,plan,0.021279573
004,purchase,0.018241884
004,content,0.015862927
004,program,0.014798234
005,item,0.32254344
005,reference,0.0109399855
005,incorporate,0.009544879
005,information,0.0076160324
005,file,0.004544473
005,sec,0.004134807
005,exhibit,0.0027270631
005,read,0.0028633734
005,appear,0.002353491
005,section,0.0024978532
006,discussion,0.2656163
006,service,0.0029503973
006,business,0.0028735665
006,applicable,0.004170831
006,customer,0.0017929362
006,product,0.0024805074
006,website,0.0011683032
006,material,0.0013030686
006,distribution,0.00098212
006,position,0.00088841154
007,analysis,0.26609337
007,service,0.002720881
007,business,0.0028377385
007,property,0.0015570772
007,office,0.0009605835
007,bank,0.0022287024
007,federal,0.0010540726
007,incur,0.0009991587
007,location,0.00079973135
007,distribution,0.0009044462
008,condition,0.24172102
008,plan,0.013090055
008,regulation,0.0022037036
008,service,0.0029795766
008,conditional,0.0011486695
008,customer,0.0019785012
008,bank,0.0025059544
008,rule,0.00095022895
008,system,0.00097550015
008,technology,0.0009183551
009,result,0.252801
009,plan,0.011258045
009,consolidate,0.0060010706
009,service,0.0038790945
009,notar,0.005363938
009,customer,0.0030115752
009,bank,0.003367004
009,office,0.0016973235
009,conjunction,0.0015107323
009,supplementary,0.0017164191
010,operation,0.2564216
010,product,0.005543359
010,net,0.009325939
010,asset,0.00653794
010,customer,0.003036079
010,service,0.0033821312
010,adjust,0.0020093184
010,loan,0.003280849
010,investment,0.0037945707
010,intangible,0.0015461053
011,financial,0.252056
011,plan,0.014466087
011,forward,0.0133497
011,future,0.007459022
011,update,0.0052709905
011,factor,0.0053088334
011,salir,0.0068548326
011,actual,0.004009198
011,undertake,0.0033183896
011,expectation,0.003432336
012,management,0.033970684
012,management's,0.020562226
012,analysis,0.03138456
012,discussion,0.029589148
012,entitle,0.005259671
012,account,0.005570316
012,business,0.0049596233
012,section,0.003356709
012,form,0.008658311
012,affect,0.0036191496
013,management,0.22278526
013,management's,0.08971203
013,bank,0.0041960683
013,regulation,0.0023577975
013,entitle,0.0019327872
013,convergys,0.005660215
013,corporation,0.0056918315
013,product,0.002937413
013,customer,0.002137172
013,federal,0.0015362791
014,item,0.23523827
014,report,0.19386198
014,annual,0.13494886
014,form,0.0646371
014,corporation,0.05391983
014,convergys,0.053327143
014,reference,0.032044623
014,applicable,0.031276945
014,security,0.027561398
014,incorporate,0.024001736
015,item,0.22916822
015,risk,0.13463521
015,market,0.13177693
015,quantitative,0.12837042
015,qualitative,0.12830809
015,disclosure,0.1279921
015,7a,0.11974904
016,disclosure,0.24921934
016,page,0.008704619
016,factor,0.005427984
016,uncertainty,0.0037259564
016,1a,0.0032961944
016,future,0.0052769193
016,plan,0.0067049772
016,detail,0.0028282816
016,include,0.004721007
016,update,0.0032286833
017,quantitative,0.25059843
017,additional,0.0025254488
017,atar,0.0021538879
017,significant,0.0025108748
017,uncertainty,0.0027476447
017,detail,0.0018534304
017,1a,0.0020608534
017,business,0.0032113753
017,page,0.0025481118
017,product,0.0030647889
018,qualitative,0.2506455
018,additional,0.0025207144
018,atar,0.0021610125
018,uncertainty,0.0027470589
018,significant,0.002443742
018,product,0.0033677248
018,detail,0.0018965234
018,1a,0.0020712963
018,business,0.0031879793
018,page,0.0025326172
019,7a,0.25627044
019,uncertainty,0.0029617862
019,atar,0.002221064
019,significant,0.0024230457
019,detail,0.0018425336
019,additional,0.0020969368
019,account,0.0025306675
019,1a,0.0019378987
019,year,0.0053373547
019,business,0.0029579627
